# Logfile created on 2026-04-16 14:38:39 +0200 by logger.rb/v1.5.3
2026-04-16 14:38:39 +0200: Memory Usage (438936K) : Starting running IHP-SG13G2 KLayout DRC runset on /var/home/bleroux/Documents/stage_IEMN/analog-asic-design/designs/inverter/layout/inverter.klay.gds
2026-04-16 14:38:39 +0200: Memory Usage (438936K) : Ruby Version for klayout: 3.2.3
2026-04-16 14:38:39 +0200: Memory Usage (440700K) : Loading database to memory is complete.
2026-04-16 14:38:39 +0200: Memory Usage (440700K) : IHP-SG13G2 KLayout DRC runset output at: /var/home/bleroux/Documents/stage_IEMN/analog-asic-design/drc_run_TOP/inverter.klay_TOP_topmetal1.lyrdb
2026-04-16 14:38:39 +0200: Memory Usage (440700K) : Evaluate switches.
2026-04-16 14:38:39 +0200: Memory Usage (440700K) : tables selected: topmetal1
2026-04-16 14:38:39 +0200: Memory Usage (440700K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-16 14:38:39 +0200: Memory Usage (440700K) : deep mode is enabled.
2026-04-16 14:38:39 +0200: Memory Usage (440700K) : FEOL enabled: false
2026-04-16 14:38:39 +0200: Memory Usage (440892K) : BEOL enabled: false
2026-04-16 14:38:39 +0200: Memory Usage (440892K) : OFFGRID enabled: true
2026-04-16 14:38:39 +0200: Memory Usage (440892K) : PIN enabled: false
2026-04-16 14:38:39 +0200: Memory Usage (440892K) : FORBIDDEN enabled: false
2026-04-16 14:38:39 +0200: Memory Usage (440892K) : RECOMMENDED enabled: true
2026-04-16 14:38:39 +0200: Memory Usage (440892K) : PreCheck DRC enabled: false
2026-04-16 14:38:39 +0200: Memory Usage (440892K) : CONNECTIVITY_RULES enabled: false.
2026-04-16 14:38:39 +0200: Memory Usage (440892K) : Read in polygons from layers.
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : activ_drw has 8 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : activ_pin has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : activ_mask has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : activ_filler has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : activ_nofill has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : activ_opc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : activ_iopc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : activ_noqrc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : biwind_drw has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : biwind_opc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : pemwind_drw has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : gatpoly_drw has 5 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : gatpoly_pin has 1 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : gatpoly_filler has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : gatpoly_nofill has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : gatpoly_opc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : gatpoly_iopc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : gatpoly_noqrc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : cont_drw has 13 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : cont_opc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : nsd_drw has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441660K) : nsd_block has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441852K) : metal1_drw has 13 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441852K) : metal1_pin has 7 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441852K) : metal1_mask has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441852K) : metal1_filler has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (441852K) : metal1_nofill has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (442044K) : metal1_slit has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (442428K) : metal1_text has 2 polygons
2026-04-16 14:38:39 +0200: Memory Usage (442428K) : metal1_opc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (442428K) : metal1_noqrc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (442428K) : metal1_res has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (442428K) : metal1_iprobe has 0 polygons
