# Logfile created on 2026-04-16 14:38:39 +0200 by logger.rb/v1.5.3
2026-04-16 14:38:39 +0200: Memory Usage (437676K) : Starting running IHP-SG13G2 KLayout DRC runset on /var/home/bleroux/Documents/stage_IEMN/analog-asic-design/designs/inverter/layout/inverter.klay.gds
2026-04-16 14:38:39 +0200: Memory Usage (437676K) : Ruby Version for klayout: 3.2.3
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : Loading database to memory is complete.
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : IHP-SG13G2 KLayout DRC runset output at: /var/home/bleroux/Documents/stage_IEMN/analog-asic-design/drc_run_TOP/inverter.klay_TOP_vian.lyrdb
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : Evaluate switches.
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : tables selected: vian
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : deep mode is enabled.
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : FEOL enabled: false
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : BEOL enabled: false
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : OFFGRID enabled: true
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : PIN enabled: false
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : FORBIDDEN enabled: false
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : RECOMMENDED enabled: true
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : PreCheck DRC enabled: false
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : CONNECTIVITY_RULES enabled: false.
2026-04-16 14:38:39 +0200: Memory Usage (438896K) : Read in polygons from layers.
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : activ_drw has 8 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : activ_pin has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : activ_mask has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : activ_filler has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : activ_nofill has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : activ_opc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : activ_iopc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : activ_noqrc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : biwind_drw has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : biwind_opc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : pemwind_drw has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : gatpoly_drw has 5 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : gatpoly_pin has 1 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : gatpoly_filler has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : gatpoly_nofill has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : gatpoly_opc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : gatpoly_iopc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : gatpoly_noqrc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : cont_drw has 13 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : cont_opc has 0 polygons
2026-04-16 14:38:39 +0200: Memory Usage (440240K) : nsd_drw has 0 polygons
